identity_key,primary_path,general_status,general_confidence
androgynous,PERSON_COUNT,PROPOSED,MEDIUM
android,PERSON_COUNT,PROPOSED,HIGH
angel,PERSON_COUNT,PROPOSED,HIGH
angel's_24_uniform_(blue_archive),CLOTHING/UNIFORM,PROPOSED,HIGH
angel_and_devil,PERSON_COUNT,PROPOSED,HIGH
angel_wing_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
anglerfish_girl,PERSON_COUNT,PROPOSED,MEDIUM
animal-themed_vehicle,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
animal_realm_yakuza_(touhou),PERSON_COUNT,PROPOSED,MEDIUM
animalization,PERSON_COUNT,PROPOSED,MEDIUM
anna_miller,CLOTHING/UNIFORM,PROPOSED,MEDIUM
announcer,PERSON_COUNT,PROPOSED,HIGH
another_rider_(zi-o),PERSON_COUNT,PROPOSED,MEDIUM
ant_girl,PERSON_COUNT,PROPOSED,HIGH
anti-demon_corps_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
anti-rain_(girls'_frontline),PERSON_COUNT,PROPOSED,MEDIUM
antique_car,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
antique_seraphim_(blue_archive),PERSON_COUNT,PROPOSED,MEDIUM
anzio_military_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
anzio_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
aoba_johsai_volleyball_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
aogami_high_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
aoshidan_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
aozora_middle_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
aqours_1st_years,PERSON_COUNT,PROPOSED,HIGH
aqours_2nd_years,PERSON_COUNT,PROPOSED,HIGH
aqours_3rd_years,PERSON_COUNT,PROPOSED,HIGH
arachne,PERSON_COUNT,PROPOSED,MEDIUM
arachne_boy,PERSON_COUNT,PROPOSED,HIGH
aramis_high_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
arashiyama_squad's_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
area_15,PERSON_COUNT,PROPOSED,MEDIUM
argentinian_national_soccer_team_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
argonauts_(fate),PERSON_COUNT,PROPOSED,MEDIUM
argonian,PERSON_COUNT,PROPOSED,MEDIUM
aria_company_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
aria_gakuen_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
arisugawa_academy_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
arius_squad_(blue_archive),PERSON_COUNT,PROPOSED,MEDIUM
armored_personnel_carrier,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
armored_vehicle,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
army,PERSON_COUNT,PROPOSED,HIGH
arrancar,PERSON_COUNT,PROPOSED,HIGH
arthropod_boy,PERSON_COUNT,PROPOSED,HIGH
arthropod_girl,PERSON_COUNT,PROPOSED,HIGH
artist_painter,PERSON_COUNT,PROPOSED,HIGH
arwing,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
asagami_private_girls_acadamy_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
asahigaoka_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
asahiyama_high_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
asari_(mass_effect),PERSON_COUNT,PROPOSED,HIGH
ashen_wolves_(fire_emblem),PERSON_COUNT,PROPOSED,HIGH
ashford_academy_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
ashford_academy_swimsuit,CLOTHING/UNIFORM,PROPOSED,MEDIUM
ashigaya_high_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
asobi_asobase's_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
assassin,PERSON_COUNT,PROPOSED,HIGH
asticassia_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
aston_martin,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
astral_express_(honkai:_star_rail),OBJECT_PROP/VEHICLE,PROPOSED,HIGH
astromech_droid,PERSON_COUNT,PROPOSED,MEDIUM
astronaut,PERSON_COUNT,PROPOSED,HIGH
asura_(mythology),PERSON_COUNT,PROPOSED,HIGH
at-at,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
atlas_academy_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
attack_helicopter,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
attack_ship_(eve_online),OBJECT_PROP/VEHICLE,PROPOSED,HIGH
au_ra,PERSON_COUNT,PROPOSED,MEDIUM
audi,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
audience,PERSON_COUNT,PROPOSED,HIGH
aunt_and_nephew,PERSON_COUNT,PROPOSED,HIGH
aunt_and_niece,PERSON_COUNT,PROPOSED,HIGH
aurelia_academy_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
autobot,PERSON_COUNT,PROPOSED,MEDIUM
autocycle,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
autogyro,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
autoscorer,PERSON_COUNT,PROPOSED,MEDIUM
av_idol,PERSON_COUNT,PROPOSED,HIGH
avatar_state,PERSON_COUNT,PROPOSED,MEDIUM
ave_mujica_(bang_dream!),PERSON_COUNT,PROPOSED,HIGH
avocado_academy_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
awacs,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
awafuji_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
awakened_being_(claymore),PERSON_COUNT,PROPOSED,HIGH
awataguchi_family_(touken_ranbu),PERSON_COUNT,PROPOSED,HIGH
axolotl_girl,PERSON_COUNT,PROPOSED,HIGH
ayafubumi_(hololive),PERSON_COUNT,PROPOSED,HIGH
ayanokouji_martial_arts_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
azov_battalion,PERSON_COUNT,PROPOSED,MEDIUM
azumanga_daioh's_gym_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
azumanga_daioh's_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
azuna_(love_live!),PERSON_COUNT,PROPOSED,HIGH
b-25_mitchell,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
b-29_superfortress,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
b-2_spirit,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
b-52_stratofortress,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
b-komachi_(new),PERSON_COUNT,PROPOSED,HIGH
b.a.b.e.l._uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
b5n,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
baby,PERSON_COUNT,PROPOSED,HIGH
babyls_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
babysitter,PERSON_COUNT,PROPOSED,HIGH
back_alley_alliance,PERSON_COUNT,PROPOSED,MEDIUM
bad_end_precure,PERSON_COUNT,PROPOSED,MEDIUM
badger_boy,PERSON_COUNT,PROPOSED,HIGH
badger_girl,PERSON_COUNT,PROPOSED,HIGH
bakatare_(hololive),PERSON_COUNT,PROPOSED,MEDIUM
baker_at_bat,PERSON_COUNT,PROPOSED,HIGH
balamb_garden_uniform_(ff8),CLOTHING/UNIFORM,PROPOSED,HIGH
ballerina,PERSON_COUNT,PROPOSED,HIGH
ballerino,PERSON_COUNT,PROPOSED,HIGH
banana_boat,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
banchou,PERSON_COUNT,PROPOSED,HIGH
band_(music),PERSON_COUNT,PROPOSED,HIGH
band_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
barbarian,PERSON_COUNT,PROPOSED,HIGH
barber,PERSON_COUNT,PROPOSED,HIGH
bard,PERSON_COUNT,PROPOSED,HIGH
barista,PERSON_COUNT,PROPOSED,HIGH
barmaid,PERSON_COUNT,PROPOSED,HIGH
bartender,PERSON_COUNT,PROPOSED,HIGH
baseball_jersey,CLOTHING/UNIFORM,PROPOSED,HIGH
baseball_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
basketball_jersey,CLOTHING/UNIFORM,PROPOSED,HIGH
basketball_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
bastard_munchen_soccer_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
bat_boy,PERSON_COUNT,PROPOSED,HIGH
bat_girl,PERSON_COUNT,PROPOSED,HIGH
batten_japari_dan,PERSON_COUNT,PROPOSED,MEDIUM
battle_chatelaine,PERSON_COUNT,PROPOSED,MEDIUM
battlecruiser,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
battlecruiser_(eve_online),OBJECT_PROP/VEHICLE,PROPOSED,HIGH
battleship,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
battleship_(eve_online),OBJECT_PROP/VEHICLE,PROPOSED,HIGH
bc_freedom_military_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
bc_freedom_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
bear_boy,PERSON_COUNT,PROPOSED,HIGH
bear_girl,PERSON_COUNT,PROPOSED,HIGH
beaver_girl,PERSON_COUNT,PROPOSED,HIGH
bee_boy,PERSON_COUNT,PROPOSED,HIGH
bee_girl,PERSON_COUNT,PROPOSED,HIGH
beetle_boy,PERSON_COUNT,PROPOSED,HIGH
bellhop_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
bellwall_military_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
bellwall_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
bf_109,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
bibi_(love_live!),PERSON_COUNT,PROPOSED,MEDIUM
bible_black's_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
bicycle,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
big_onis_of_gensokyo_(touhou),PERSON_COUNT,PROPOSED,MEDIUM
biplane,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
bird_boy,PERSON_COUNT,PROPOSED,HIGH
bird_girl,PERSON_COUNT,PROPOSED,HIGH
bird_youkai_group_(touhou),PERSON_COUNT,PROPOSED,MEDIUM
bisexual_female,PERSON_COUNT,PROPOSED,HIGH
bisexual_male,PERSON_COUNT,PROPOSED,HIGH
bishounen,PERSON_COUNT,PROPOSED,HIGH
black_car,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
black_eagles_(fire_emblem),PERSON_COUNT,PROPOSED,HIGH
black_moon_clan,PERSON_COUNT,PROPOSED,HIGH
black_order_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
black_serafuku,CLOTHING/UNIFORM,PROPOSED,HIGH
black_vinegar_middle_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
blacked_male,PERSON_COUNT,PROPOSED,HIGH
blacksmith,PERSON_COUNT,PROPOSED,HIGH
blacksteel_worldwide_(arknights),PERSON_COUNT,PROPOSED,MEDIUM
blood_angels,PERSON_COUNT,PROPOSED,MEDIUM
blood_elf_(warcraft),PERSON_COUNT,PROPOSED,HIGH
blue_car,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
blue_gakuran,CLOTHING/UNIFORM,PROPOSED,HIGH
blue_lions_(fire_emblem),PERSON_COUNT,PROPOSED,HIGH
blue_oni,PERSON_COUNT,PROPOSED,MEDIUM
blue_serafuku,CLOTHING/UNIFORM,PROPOSED,HIGH
blueberry_academy_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
bmw,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
bmw_3_series,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
bmw_m3,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
bnw_(umamusume),PERSON_COUNT,PROPOSED,MEDIUM
boar_boy,PERSON_COUNT,PROPOSED,HIGH
boat,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
boc'z_(umamusume),PERSON_COUNT,PROPOSED,MEDIUM
bodybuilder,PERSON_COUNT,PROPOSED,HIGH
bodyguard,PERSON_COUNT,PROPOSED,HIGH
boeing_747,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
bomber,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
bonple_military_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
bonyari_high_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
booth_babe,PERSON_COUNT,PROPOSED,HIGH
border_operator_uniform_(world_trigger),CLOTHING/UNIFORM,PROPOSED,HIGH
bousouzoku,PERSON_COUNT,PROPOSED,HIGH
box_truck,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
boxer,PERSON_COUNT,PROPOSED,HIGH
brazilian_national_soccer_team_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
bride,PERSON_COUNT,PROPOSED,HIGH
british_army,PERSON_COUNT,PROPOSED,MEDIUM
brother_and_sister,PERSON_COUNT,PROPOSED,HIGH
brotherhood_of_steel,PERSON_COUNT,PROPOSED,HIGH
brothers,PERSON_COUNT,PROPOSED,HIGH
brothers-in-law,PERSON_COUNT,PROPOSED,HIGH
brough_superior,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
brown_car,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
brown_serafuku,CLOTHING/UNIFORM,PROPOSED,HIGH
bt-42,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
buddhist_nun,PERSON_COUNT,PROPOSED,HIGH
bulldozer,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
bundeswehr,PERSON_COUNT,PROPOSED,HIGH
burmecian,PERSON_COUNT,PROPOSED,HIGH
bus,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
buster_bros!!!,PERSON_COUNT,PROPOSED,HIGH
butch/femme_couple,PERSON_COUNT,PROPOSED,HIGH
butcher,PERSON_COUNT,PROPOSED,HIGH
butler,PERSON_COUNT,PROPOSED,HIGH
butler_(fire_emblem:_three_houses),PERSON_COUNT,PROPOSED,MEDIUM
butterfly_girl,PERSON_COUNT,PROPOSED,MEDIUM
cable_car,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
cactus_girl,PERSON_COUNT,PROPOSED,MEDIUM
cadillac,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
cafe_lycoreco_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
cafe_mew_mew_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
camel_girl,PERSON_COUNT,PROPOSED,MEDIUM
camelot_academy_of_chivalry_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
canards,OBJECT_PROP/VEHICLE,PROPOSED,MEDIUM
canoe,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
capital_ship_(eve_online),OBJECT_PROP/VEHICLE,PROPOSED,HIGH
capybara_girl,PERSON_COUNT,PROPOSED,HIGH
car,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
cargo_aircraft,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
cargo_ship,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
carriage,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
carrier_(eve_online),OBJECT_PROP/VEHICLE,PROPOSED,HIGH
carro_armato_p40,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
carro_veloce_cv-33,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
cart,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
cashier,PERSON_COUNT,PROPOSED,HIGH
cassock,CLOTHING/UNIFORM,PROPOSED,HIGH
cat_boy,PERSON_COUNT,PROPOSED,HIGH
cat_girl,PERSON_COUNT,PROPOSED,HIGH
catcher_(baseball),PERSON_COUNT,PROPOSED,HIGH
caterpillar_girl,PERSON_COUNT,PROPOSED,HIGH
caterpillar_tracks,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
cavalry,PERSON_COUNT,PROPOSED,HIGH
caveman,PERSON_COUNT,PROPOSED,HIGH
cavewoman,PERSON_COUNT,PROPOSED,HIGH
celestial_being_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
centipede_girl,PERSON_COUNT,PROPOSED,HIGH
centurion_(tank),OBJECT_PROP/VEHICLE,PROPOSED,HIGH
cerise_bouquet,PERSON_COUNT,PROPOSED,HIGH
ch-47_chinook,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
chairlift,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
chaldea's_stalker_trio,PERSON_COUNT,PROPOSED,HIGH
chaldea_master_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
chaldea_security_organization,PERSON_COUNT,PROPOSED,HIGH
chaldea_staff_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
chameleon_boy,PERSON_COUNT,PROPOSED,HIGH
chameleon_girl,PERSON_COUNT,PROPOSED,HIGH
champion_uniform_(pokemon),CLOTHING/UNIFORM,PROPOSED,HIGH
channel_ppp,PERSON_COUNT,PROPOSED,HIGH
char_b1,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
character_age,PERSON_COUNT,PROPOSED,HIGH
character_and_genderswap,PERSON_COUNT,PROPOSED,HIGH
chariot,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
cheerleader,PERSON_COUNT,PROPOSED,HIGH
cheetah_boy,PERSON_COUNT,PROPOSED,HIGH
cheetah_girl,PERSON_COUNT,PROPOSED,HIGH
chef,PERSON_COUNT,PROPOSED,HIGH
chef_hat,CLOTHING/UNIFORM,PROPOSED,HIGH
chengdu_j-10,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
chengdu_j-20,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
chevrolet,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
chevrolet_camaro,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
chevrolet_corvette,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
chi-hatan_military_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
chi-hatan_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
chicken_boy,PERSON_COUNT,PROPOSED,HIGH
chicken_girl,PERSON_COUNT,PROPOSED,HIGH
chiester_sisters,PERSON_COUNT,PROPOSED,HIGH
chijo,PERSON_COUNT,PROPOSED,HIGH
child,PERSON_COUNT,PROPOSED,HIGH
chimame-tai,PERSON_COUNT,PROPOSED,HIGH
chinchilla_girl,PERSON_COUNT,PROPOSED,HIGH
chinese_track_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
chipmunk_girl,PERSON_COUNT,PROPOSED,HIGH
chiss,PERSON_COUNT,PROPOSED,HIGH
choco_girl,PERSON_COUNT,PROPOSED,HIGH
choir,PERSON_COUNT,PROPOSED,HIGH
choujuu_gigaku,PERSON_COUNT,PROPOSED,HIGH
chrysos_heirs_(honkai:_star_rail),PERSON_COUNT,PROPOSED,HIGH
chrysos_heirs_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
chuo_academy_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
chuo_tanegashima_high_school_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
churchill_(tank),OBJECT_PROP/VEHICLE,PROPOSED,HIGH
cinq_association_east_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
cinq_association_south_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
cinq_association_west_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
citroen,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
cleric,PERSON_COUNT,PROPOSED,HIGH
clone,PERSON_COUNT,PROPOSED,HIGH
clone_trooper,PERSON_COUNT,PROPOSED,MEDIUM
clown,PERSON_COUNT,PROPOSED,HIGH
coach,PERSON_COUNT,PROPOSED,HIGH
cockroach_girl,PERSON_COUNT,PROPOSED,MEDIUM
combat_ship_(eve_online),OBJECT_PROP/VEHICLE,PROPOSED,HIGH
compass_uniform,CLOTHING/UNIFORM,PROPOSED,HIGH
competition_school_swimsuit,CLOTHING/UNIFORM,PROPOSED,HIGH
conductor,PERSON_COUNT,PROPOSED,MEDIUM
construction_worker,PERSON_COUNT,PROPOSED,MEDIUM
convertible,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
convoy,OBJECT_PROP/VEHICLE,PROPOSED,HIGH
cook,PERSON_COUNT,PROPOSED,MEDIUM
cousins,PERSON_COUNT,PROPOSED,HIGH
cow_boy,PERSON_COUNT,PROPOSED,HIGH
cow_girl,PERSON_COUNT,PROPOSED,HIGH
cowboy,PERSON_COUNT,PROPOSED,HIGH
cowgirl_(western),PERSON_COUNT,PROPOSED,HIGH
coyote_boy,PERSON_COUNT,PROPOSED,HIGH
crab_girl,PERSON_COUNT,PROPOSED,HIGH
crane_(machine),OBJECT_PROP/VEHICLE,PROPOSED,HIGH
crocodile_boy,PERSON_COUNT,PROPOSED,HIGH
crocodile_girl,PERSON_COUNT,PROPOSED,HIGH
crossbone_vanguard,PERSON_COUNT,PROPOSED,HIGH
crowd,PERSON_COUNT,PROPOSED,HIGH
