identity_key,state,structural_flags
glasses_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
goku_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
good_couple_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
good_meat_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
good_thighhighs_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
good_thighs_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
good_twins_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
greenery_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
happy_mother's_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
happy_white_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
heart_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
junko_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
kawasaki_(company),PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,safe_disambiguator
kirin_(company),PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,safe_disambiguator
kiss_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
koishi_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
lancia_(brand),PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,safe_disambiguator
land_rover_(company),PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,safe_disambiguator
lotus_(brand),PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,safe_disambiguator
louis_vuitton_(brand),PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,safe_disambiguator
love_live!_series_asia_tour_2024,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,live_or_tour
maid_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
marui_(company),PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,safe_disambiguator
maya_(culture),PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,safe_disambiguator
mcm_(brand),PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,safe_disambiguator
mizuno_(brand),PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,safe_disambiguator
nazrin_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
nike_(company),PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,safe_disambiguator
nikon_(company),PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,safe_disambiguator
nyan_nyan_nyan_fair_in_gamers,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,festival_or_fair
parsee_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
patchouli_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
pocky_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
pokemon_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
puma_(brand),PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,safe_disambiguator
qixi_festival,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,festival_or_fair
reimu_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
remilia_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
roland_(company),PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,safe_disambiguator
saint_patrick's_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
satori_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
sekibanki_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
shell_(company),PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,safe_disambiguator
snickers_(brand),PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,safe_disambiguator
speedo_(company),PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,safe_disambiguator
star_wars_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
stomach_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
subaru_(brand),PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,safe_disambiguator
subway_(company),PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,safe_disambiguator
supreme_(brand),PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,safe_disambiguator
suzuki_(company),PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,safe_disambiguator
tales_of_festival,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,festival_or_fair
tesla_(company),PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,safe_disambiguator
tights_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
twintails_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
white_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
women's_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
wriggle_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
youmu_day,PATHLESS_STRUCTURAL_SAFE_CANDIDATE_V24,calendar_day
